"Track URI","Track Name","Artist Name(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Track Preview URL"
"spotify:track:2qlBAT108lYOzlXhBxBqEv","Home (Metro Boomin & Don Toliver, Lil Uzi Vert)","Metro Boomin, Don Toliver, Lil Uzi Vert","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/b1058ab091ccb725d3ff59f4a488476ebddf5b32?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3xMnPIvsaWwzHzqqzaihEX","Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)","Metro Boomin, James Blake, A$AP Rocky, 21 Savage","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/646fb099922129826eb1c494dffa7e41a0749bd6?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0KoBrntyQ2x6Y1eZwgGe5P","Givin’ Up (Not The One) (Don Toliver & 21 Savage, 2 Chainz)","Don Toliver, 21 Savage, 2 Chainz","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/d28ed256d49b14467c03676c3bc94be829c0bf84?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4mTKCa00WAZS2ag4GYwu0t","Nas Morales (Metro Boomin & Nas)","Metro Boomin, Nas","Metro Boomin","2023-06-02","https://i.scdn.co/image/ab67616d0000b2736ed9aef791159496b286179f","https://p.scdn.co/mp3-preview/360f68c50aeff5af18ad2c46b1647b29997b3b16?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:6Oq4fiDzKaFMU89dTvM24u","Audacity (feat. Headie One)","Stormzy, Headie One","Stormzy","2019-12-13","https://i.scdn.co/image/ab67616d0000b273a1e8b73748ee972a4c22be16","https://p.scdn.co/mp3-preview/d457b8f21c6e139f3e15b9754edeed1bc0314290?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:37CoOXIsgF3NzbK1zHZetk","Mona Lisa (Spider-Man: Across the Spider-Verse)","Dominic Fike","Dominic Fike","2023-06-02","https://i.scdn.co/image/ab67616d0000b273f4e6ed5d6b134635c45f8602","https://p.scdn.co/mp3-preview/cea8b314f8b3777c6b87a45187b7b522d3911fde?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5IfHiB7cDHdihOZLikusPq","Light The City Up","Cut The Lights","Cut The Lights","2023-06-02","https://i.scdn.co/image/ab67616d0000b273c435673189aae10be2ec5ca4","https://p.scdn.co/mp3-preview/cb99a902b053cf5e52947c28983f898ecebcc28d?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:3KkXRkHbMCARz0aVfEt68P","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee","Various Artists","2018-12-14","https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f","https://p.scdn.co/mp3-preview/801a664529525b366fa6fb8f6cacd5dd83928272?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:5zsHmE2gO3RefVsPyw2e3T","What's Up Danger (with Black Caviar)","Blackway, Black Caviar","Various Artists","2018-12-14","https://i.scdn.co/image/ab67616d0000b273e2e352d89826aef6dbd5ff8f","https://p.scdn.co/mp3-preview/d75e1f69d2caafd88c626824d0513c466d787f34?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:56elAIX47Q7vSQ1bpKNhHo","Equinox","John Coltrane","John Coltrane","2018-05-17","https://i.scdn.co/image/ab67616d0000b273e407464fb2e70ed95b9836ec","https://p.scdn.co/mp3-preview/bf9bd3fea3c76904f96de0aec143eaa1e788b9e3?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:0qMzVhk0MvRbNi6m1fxtcl","The Problem","Jesika Jane, NEM3SI$","Jesika Jane, NEM3SI$","2022-11-16","https://i.scdn.co/image/ab67616d0000b273b664a9c40345ac6448ac8644","https://p.scdn.co/mp3-preview/c424f84daa701b965e159a66316f5dd0c34d24f9?cid=9950ac751e34487dbbe027c4fd7f8e99"
"spotify:track:4eJekm7bfnUMUPSF54rdYJ","Nick Fury (Main Title Theme) - From ""Secret Invasion""","Kris Bowers","Kris Bowers","2023-06-21","https://i.scdn.co/image/ab67616d0000b2739e44ec82ff6673c9bf62a35c","https://p.scdn.co/mp3-preview/7fdaf087ec01368a5edf5431d387aa11d680c4ef?cid=9950ac751e34487dbbe027c4fd7f8e99"
